slope_id,lat,lon,name,slope_angle_deg,slope_aspect,curvature,twi,elevation_m,ndvi,geology,texture_class,soil_depth_m,cohesion_kpa,friction_angle_deg,unit_weight,distance_to_stream_m,previous_landslide,reactivation_count,susceptibility
SU_0000,10.749080237694725,76.93916925552912,Slope Unit 1,11.414313355903042,326.97571894799535,-0.3400123607892454,8.879110186966876,913.4294166214048,0.7728333946767401,colluvium,loam,2.81160832555899,2.6351182959000132,33.16226994389541,19.039821635750343,703.0222331190931,True,0,0.4469
SU_0001,11.901428612819831,76.55026564672222,Slope Unit 2,38.63846850687012,86.24228064011007,0.11612684858050178,8.917388587909764,559.9414801062686,0.7337454493692447,alluvium,sandy_clay_loam,2.7977892881966486,2.3682186763599136,34.74354841078204,18.125063015894135,997.3104240730264,False,0,0.5493
SU_0002,11.46398788362281,76.87899788312838,Slope Unit 3,24.1460191484347,52.16215395284031,0.14653623664934062,6.516438058538286,534.6555640066291,0.23705379435250754,granite,silt_loam,1.1324754199731029,3.338521188006332,29.34954892713876,18.88206424556586,898.6780577145404,False,0,0.3911
SU_0003,11.197316968394073,76.7896547008553,Slope Unit 4,32.885681102411624,176.20299369992267,-0.3571757090131839,6.055142909851454,675.364347246893,0.14855291061261583,alluvium,loam,2.238527807766619,2.136719648269973,35.47346264029935,16.249365450044966,584.4784494495468,False,1,0.5855
SU_0004,10.312037280884873,76.19579995762217,Slope Unit 5,50.84049132667418,354.83416347981625,0.9328872555723783,9.665528088349596,1123.8399970591806,0.17054460096419866,colluvium,loam,0.6885863677244232,2.753590603524623,34.30268386104636,16.590956367624905,919.0477008238211,False,0,0.6669
SU_0005,10.311989040672405,76.84374847004624,Slope Unit 6,21.21815031169937,87.13989774414014,0.23691646045589376,9.670793762754265,1371.8938840500934,0.11275527795608481,sandstone,silty_clay,0.9155385797731324,8.91714397168912,23.059775645629855,16.532467714349913,25.194006269653308,False,0,0.5468
SU_0006,10.1161672243364,75.17698500410384,Slope Unit 7,28.46723153660334,241.96879706611628,-0.5956517486013243,10.069506230060727,1290.296065076597,0.1661100725291499,alluvium,silt_loam,1.042022766466228,7.343462750294631,22.733780262474127,18.748662021613324,975.5658196862397,True,0,0.6044
SU_0007,11.732352291549871,75.39196572483829,Slope Unit 8,43.99980123443719,274.1830615183383,0.32827680431691486,10.392683867895299,719.9008454189143,0.5781047413914499,sandstone,silt_loam,1.2362348670985748,9.499107494699718,31.93289095075346,19.377762690534514,500.9338036736088,False,1,0.599
SU_0008,11.202230023486418,75.09045457782108,Slope Unit 9,20.29591744712301,85.54951583726388,-0.4873408351136607,7.579396792026564,1732.2979209947912,0.1498320539221603,basalt,sandy_clay_loam,2.9895784375734267,11.131657522576429,27.55861453160663,18.99846492803435,728.4381746893401,False,0,0.4093
SU_0009,11.41614515559209,75.65066066152653,Slope Unit 10,13.464095942295685,262.15788550026946,0.393542301871226,7.510614062810397,1406.8453750436527,0.32328294120563295,granite,silt_loam,2.242312639659537,7.85149532325472,25.34609265725623,16.121888610934377,824.4442436902855,False,1,0.3299
